url	dist.FAO.Area	dist.Status
33	https://www.fishbase.se/Country/FaoAreaList.php?ID=1079&GenusName=Megalops&SpeciesName=atlanticus&fc=47&StockCode=1095&Scientific=Megalops+atlanticus	Atlantic, Eastern Central	native
34	https://www.fishbase.se/Country/FaoAreaList.php?ID=1079&GenusName=Megalops&SpeciesName=atlanticus&fc=47&StockCode=1095&Scientific=Megalops+atlanticus	Atlantic, Southwest	native
35	https://www.fishbase.se/Country/FaoAreaList.php?ID=1079&GenusName=Megalops&SpeciesName=atlanticus&fc=47&StockCode=1095&Scientific=Megalops+atlanticus	Pacific, Eastern Central	introduced
36	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Asia - Inland waters	native
37	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Atlantic, Northwest	native
38	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Atlantic, Western Central	native
39	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Atlantic, Southwest	native
40	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Indian Ocean, Western	questionable
41	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Pacific, Northwest	native
42	https://www.fishbase.se/Country/FaoAreaList.php?ID=175&GenusName=Elops&SpeciesName=saurus&fc=46&StockCode=189&Scientific=Elops+saurus	Pacific, Western Central	native
43	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Indian Ocean, Western	native
44	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Indian Ocean, Eastern	native
45	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Pacific, Northwest	native
46	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Pacific, Western Central	native
47	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Pacific, Eastern Central	native
48	https://www.fishbase.se/Country/FaoAreaList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&StockCode=11838&Scientific=Albula+glossodonta	Pacific, Southwest	native
49	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Atlantic, Northwest	native
50	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Atlantic, Western Central	native
51	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Atlantic, Southwest	native
52	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Atlantic, Southeast	native
53	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Indian Ocean, Western	native
54	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Indian Ocean, Eastern	native
55	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Pacific, Northwest	native
56	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Pacific, Western Central	native
57	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Pacific, Eastern Central	native
58	https://www.fishbase.se/Country/FaoAreaList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&StockCode=242&Scientific=Albula+vulpes	Pacific, Southeast	native
59	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Northwest	native
60	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Northeast	native
61	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Western Central	native
62	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Eastern Central	native
63	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Southwest	native
64	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Atlantic, Southeast	native
65	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Indian Ocean, Eastern	native
66	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Indian Ocean, Antarctic	native
67	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Pacific, Northwest	native
68	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Pacific, Northeast	native
69	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Pacific, Eastern Central	native
70	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Pacific, Southwest	native
71	https://www.fishbase.se/Country/FaoAreaList.php?ID=2661&GenusName=Notacanthus&SpeciesName=chemnitzii&fc=73&StockCode=2857&Scientific=Notacanthus+chemnitzii	Pacific, Southeast	native
72	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Northwest	native
