url	sci_name	common_name	habitat	threat_to_humans	human_uses	IUCN	IUCN_abr	physical_characters
15	https://www.fishbase.se/summary/Acipenser-fulvescens.html	Acipenser fulvescens Rafinesque,  1817	Lake sturgeon	Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 5 - 9 m (Ref. 117245).   Temperate; 60°N -   30°N, 100°W -   71°W	Harmless	Fisheries: commercial; aquaculture: experimental; gamefish: yes; aquarium: public aquariums	Least Concern 	LC	Maturity: Lm97.0, range 90 -  120 cm Max length : 274 cm TL male/unsexed; (Ref. 5723); common length : 97.5 cm TL male/unsexed; (Ref. 12193); max. published weight: 125.0 kg (Ref. 3672); max. reported age: 152 years (Ref. 72475)
16	https://www.fishbase.se/summary/Scaphirhynchus-platorynchus.html	Scaphirhynchus platorynchus (Rafinesque,  1820)	Shovelnose sturgeon	Freshwater;  demersal; potamodromous (Ref. 51243).   Temperate; 10°C - 20°C (Ref. 2060); 50°N -   30°N	Harmless	Gamefish: yes; aquarium: public aquariums	Vulnerable 	VU	Maturity: Lm54.7, range 45 - ? cm Max length : 108 cm TL male/unsexed; (Ref. 86798); common length : 72.0 cm TL male/unsexed; (Ref. 12193); max. published weight: 4.9 kg (Ref. 4699); max. reported age: 43 years (Ref. 50937)
17	https://www.fishbase.se/summary/Scaphirhynchus-albus.html	Scaphirhynchus albus (Forbes  &  Richardson,  1905)	Pallid sturgeon	Freshwater;  demersal; potamodromous (Ref. 51243).   Subtropical; 44°N -   30°N	Harmless	NA	Endangered 	EN	Maturity: Lm ?  range ? - ? cm Max length : 200 cm TL male/unsexed; (Ref. 58490); common length : 81.7 cm TL male/unsexed; (Ref. 12193); max. published weight: 130.0 kg (Ref. 52332); max. reported age: 41 years (Ref. 32514)
18	https://www.fishbase.se/summary/Amia-calva.html	Amia calva Linnaeus,  1766	Bowfin	Freshwater;  demersal.   Subtropical; 15°C - 20°C (Ref. 2060); 47°N -   25°N, 97°W -   70°W (Ref. 86798)	Harmless	Fisheries: of no interest; gamefish: yes; aquarium: public aquariums	Least Concern 	LC	Maturity: Lm ?, range 38 -  68 cm Max length : 109 cm TL male/unsexed; (Ref. 86798); common length : 53.4 cm TL male/unsexed; (Ref. 12193); max. published weight: 9.8 kg (Ref. 4699); max. reported age: 30 years (Ref. 72462)
19	https://www.fishbase.se/summary/Atractosteus-spatula.html	Atractosteus spatula (Lacepède,  1803)	Alligator gar	Freshwater; brackish;  demersal; depth range 0 - ? m (Ref. 55223).   Subtropical; 44°N -   20°N, 101°W -   82°W (Ref. 55223)	Harmless	Fisheries: minor commercial; gamefish: yes; aquarium: public aquariums	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 305 cm OT male/unsexed; (Ref. 3221); common length : 200 cm TL male/unsexed; (Ref. 3728); max. published weight: 137.0 kg (Ref. 58490)
20	https://www.fishbase.se/summary/Atractosteus-tropicus.html	Atractosteus tropicus Gill,  1863	Tropical gar	Freshwater;  demersal.   Tropical	Poisonous to eat 	NA	Least Concern 	LC	Maturity: Lm36.0, range 50 -  60 cm Max length : 125 cm TL male/unsexed; (Ref. 36722); max. published weight: 2.9 kg (Ref. 40637)
21	https://www.fishbase.se/summary/Lepisosteus-platostomus.html	Lepisosteus platostomus Rafinesque,  1820	Shortnose gar	Freshwater;  demersal.   Subtropical; 10°C - 18°C (Ref. 2060); 46°N -   31°N	Harmless	Gamefish: yes; aquarium: public aquariums	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 88.0 cm TL male/unsexed; (Ref. 40637); common length : 62.5 cm TL male/unsexed; (Ref. 12193); max. published weight: 2.6 kg (Ref. 40637); max. reported age: 20 years (Ref. 12193)
22	https://www.fishbase.se/summary/Lepisosteus-oculatus.html	Lepisosteus oculatus Winchell,  1864	Spotted gar	Freshwater; brackish;  demersal.   Subtropical; 12°C - 20°C (Ref. 2060); 43°N -   28°N	Harmless	Fisheries: minor commercial; gamefish: yes	Least Concern 	LC	Maturity: Lm ?, range 40 - ? cm Max length : 150 cm TL male/unsexed; (Ref. 57533); common length : 100.0 cm TL male/unsexed; (Ref. 3728); max. published weight: 4.4 kg (Ref. 40637); max. reported age: 18 years (Ref. 12193)
23	https://www.fishbase.se/summary/Lepisosteus-osseus.html	Lepisosteus osseus (Linnaeus,  1758)	Longnose gar	Freshwater; brackish;  demersal; pH range: 7.0 - 25.0; dH range: 10 - 15; depth range 0 - ? m (Ref. 55225), usually 0 - ? m (Ref. 55225).   Subtropical; 12°C - 20°C (Ref. 2060); 47°N -   24°N, 97°W -   69°W (Ref. 55225)	Other	Fisheries: minor commercial; gamefish: yes; aquarium: public aquariums	Least Concern 	LC	Maturity: Lm66.9  range ? -  80 cm Max length : 200 cm TL male/unsexed; (Ref. 40637); common length : 17.5 cm TL male/unsexed; (Ref. 12193); max. published weight: 22.8 kg (Ref. 4699); max. reported age: 36 years (Ref. 12193)
24	https://www.fishbase.se/summary/Megalops-atlanticus.html	Megalops atlanticus Valenciennes,  1847	Tarpon	Marine; freshwater; brackish;  reef-associated; amphidromous (Ref. 51243); depth range 0 - 40 m (Ref. 3789), usually 0 - 15 m (Ref. 42064).   Subtropical; 10°C - 40°C (Ref. 93687); 49°N -   44°S, 99°W -   14°E (Ref. 55254)	Reports of ciguatera poisoning 	Fisheries: commercial; aquaculture: commercial; gamefish: yes; aquarium: public aquariums	Vulnerable 	VU	Maturity: Lm160.0, range 130 -  128.5 cm Max length : 250 cm TL male/unsexed; (Ref. 2683); common length : 130 cm TL male/unsexed; (Ref. 2683); max. published weight: 161.0 kg (Ref. 26340); max. reported age: 55 years (Ref. 9975)
