url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Soleichthys-heterorhinos.html	Soleichthys heterorhinos (Bleeker,  1856)	Black-tip sole	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	reef-associated	NA	0	10	Tropical	NA	NA
https://www.fishbase.se/summary/Oligoplites-saurus.html	Oligoplites saurus (Bloch  &  Schneider,  1801)	Leatherjacket	Venomous 	Least Concern 	LC	minor commercial	NA	yes	occasionally	NA	Marine;brackish	reef-associated	NA	0	50	Subtropical	287.00 g	NA
https://www.fishbase.se/summary/Scomberoides-lysan.html	Scomberoides lysan (Forsskål,  1775)	Doublespotted queenfish	Other 	Least Concern 	LC	minor commercial	NA	yes	occasionally	NA	Marine;brackish	reef-associated	NA	0	100	Tropical	11.0 kg	NA
https://www.fishbase.se/summary/Trachinotus-ovatus.html	Trachinotus ovatus (Linnaeus,  1758)	Pompano	Harmless	Least Concern 	LC	minor commercial	commercial	yes	NA	NA	Marine;brackish	pelagic-neritic	NA	50	200	Subtropical	2.8 kg	NA
https://www.fishbase.se/summary/Trachinotus-falcatus.html	Trachinotus falcatus (Linnaeus,  1758)	Permit	Harmless	Least Concern 	LC	commercial	commercial	yes	NA	public aquariums	Marine;brackish	reef-associated	NA	0	36	Subtropical	36.0 kg	23 years
https://www.fishbase.se/summary/Trachinotus-carolinus.html	Trachinotus carolinus (Linnaeus,  1766)	Florida pompano	Harmless	Least Concern 	LC	highly commercial	commercial	yes	NA	public aquariums	Marine;brackish	benthopelagic	oceanodromous	1	70	Subtropical	3.8 kg	NA
https://www.fishbase.se/summary/Elagatis-bipinnulata.html	Elagatis bipinnulata (Quoy  &  Gaimard,  1825)	Rainbow runner	Reports of ciguatera poisoning 	Least Concern 	LC	highly commercial	NA	yes	NA	NA	Marine	reef-associated	NA	0	150	Subtropical	46.2 kg	6 years
https://www.fishbase.se/summary/Seriola-dumerili.html	Seriola dumerili (Risso,  1810)	Greater amberjack	Reports of ciguatera poisoning	Least Concern 	LC	minor commercial	commercial	yes	NA	public aquariums	Marine	reef-associated	oceanodromous	1	360	Subtropical	80.6 kg	15 years
https://www.fishbase.se/summary/Seriola-rivoliana.html	Seriola rivoliana Valenciennes,  1833	Longfin yellowtail	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	NA	yes	NA	NA	Marine	reef-associated	NA	5	245	Subtropical	59.9 kg	NA
https://www.fishbase.se/summary/Atule-mate.html	Atule mate (Cuvier,  1833)	Yellowtail scad	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine;brackish	reef-associated	NA	1	80	Tropical	NA	NA
https://www.fishbase.se/summary/Trachurus-lathami.html	Trachurus lathami Nichols,  1920	Rough scad	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Marine	reef-associated	NA	30	200	Subtropical	500.00 g	NA
https://www.fishbase.se/summary/Decapterus-macarellus.html	Decapterus macarellus (Cuvier,  1833)	Mackerel scad	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	NA	yes	usually	NA	Marine	pelagic-oceanic	NA	0	400	Subtropical	NA	NA
https://www.fishbase.se/summary/Decapterus-punctatus.html	Decapterus punctatus (Cuvier,  1829)	Round scad	Harmless	Least Concern 	LC	minor commercial	NA	NA	usually	NA	Marine	reef-associated	NA	0	100	Subtropical	300.00 g	NA
https://www.fishbase.se/summary/Selar-crumenophthalmus.html	Selar crumenophthalmus (Bloch,  1793)	Bigeye scad	Reports of ciguatera poisoning 	Least Concern 	LC	highly commercial	NA	yes	usually	NA	Marine	reef-associated	NA	0	170	Subtropical	NA	NA
https://www.fishbase.se/summary/Gnathanodon-speciosus.html	Gnathanodon speciosus (Forsskål,  1775)	Golden trevally	Harmless 	Least Concern 	LC	minor commercial	commercial	yes	NA	commercial	Marine	reef-associated	NA	NA	80	Tropical	15.0 kg	NA
https://www.fishbase.se/summary/Caranx-crysos.html	Caranx crysos (Mitchill,  1815)	Blue runner	Reports of ciguatera poisoning 	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine;brackish	reef-associated	NA	0	100	Subtropical	5.1 kg	11 years
https://www.fishbase.se/summary/Caranx-sexfasciatus.html	Caranx sexfasciatus Quoy  &  Gaimard,  1825	Bigeye trevally	Harmless	Least Concern 	LC	commercial	NA	yes	NA	NA	Marine;freshwater;brackish	reef-associated	amphidromous	0	146	Tropical	18.0 kg	NA
https://www.fishbase.se/summary/Caranx-ignobilis.html	Caranx ignobilis (Forsskål,  1775)	Giant trevally	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	commercial	yes	NA	public aquariums	Marine;brackish	reef-associated	NA	10	188	Tropical	80.0 kg	NA
https://www.fishbase.se/summary/Hemicaranx-amblyrhynchus.html	Hemicaranx amblyrhynchus (Cuvier,  1833)	Bluntnose jack	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	NA	Marine	pelagic-neritic	NA	NA	50	Subtropical	NA	NA
https://www.fishbase.se/summary/Chloroscombrus-chrysurus.html	Chloroscombrus chrysurus (Linnaeus,  1766)	Atlantic bumper	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Marine;brackish	pelagic-neritic	NA	0	110	Subtropical	32.00 g	NA
https://www.fishbase.se/summary/Carangoides-ferdau.html	Carangoides ferdau (Forsskål,  1775)	Blue trevally	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	NA	yes	NA	NA	Marine;brackish	reef-associated	NA	1	60	Tropical	8.0 kg	NA
https://www.fishbase.se/summary/Uraspis-secunda.html	Uraspis secunda (Poey,  1860)	Cottonmouth jack	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	1	50	Subtropical	2.0 kg	NA
https://www.fishbase.se/summary/Carangoides-plagiotaenia.html	Carangoides plagiotaenia Bleeker,  1857	Barcheek trevally	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine	reef-associated	NA	2	200	Tropical	NA	NA
