Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Abalistes_stellatus_E00936		Harmless	Not Evaluated	NE						0	0	1	reef-associated		7	350	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Abbottina_rivularis2_I2681-158	Chinese false gudgeon	Harmless	Not Evaluated	NE						1	1	0	benthopelagic				Subtropical			Asia - Inland waters; Pacific, Northwest	native
Ablennes_hians_E00162	Flat needlefish	Harmless	Least Concern	LC	minor commercial		yes			0	1	1	reef-associated	oceanodromous	0	3	Subtropical	4.8		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Abramites_hypselonotus_P02_F10_RG26	Marbled headstander	Harmless	Not Evaluated	NE	subsistence fisheries				commercial	1	0	0	pelagic				Tropical			America, South - Inland waters	endemic
Abudefduf_saxatilis_E00820	Sergeant-major	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	0	20	Subtropical	0.2		Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Abudefduf_sexfasciatus_E00881	Scissortail sergeant	Harmless	Least Concern	LC	minor commercial				public aquariums	0	0	1	reef-associated	non-migratory	1	20	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Pacific, Southeast	native
Abudefduf_vaigiensis_E00890	Indo-Pacific sergeant	Reports of ciguatera poisoning	Least Concern	LC	subsistence fisheries				commercial	0	0	1	reef-associated	oceanodromous	1	15	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthaphritis_unoorum_N24985		Harmless	Not Evaluated	NE						0	0	1	demersal			100	Tropical			Pacific, Northwest	endemic
Acantharchus_pomotis_G01185	Mud sunfish	Harmless	Least Concern	LC						1	0	0	demersal				Subtropical			America, North - Inland waters	endemic
Acanthemblemaria_aspera_E00320	Roughhead blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated				Subtropical			Atlantic, Western Central	endemic
Acanthemblemaria_paula_E00295	Dwarf spinyhead blenny	Harmless	Data deficient	DD						0	0	1	reef-associated		1	2	Tropical			Atlantic, Western Central	endemic
Acanthicus_adonis_P02_B10_RG55		Harmless	Not Evaluated	NE					commercial	1	0	0	demersal				Tropical			America, South - Inland waters	endemic
Acanthocepola_sp_M01669										0	0	0									
Acanthochaenus_luetkenii_M30097	Pricklefish	Harmless	Least Concern	LC						0	0	1	benthopelagic		1655	5397	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Acanthochromis_polyacanthus_E00466	Spiny chromis	Harmless	Least Concern	LC						0	0	1	reef-associated	non-migratory	1	65	Tropical			Indian Ocean, Eastern; Pacific, Western Central; Pacific, Northwest	native
Acanthocobitis_botia_I2718-54	Mottled loach	Harmless	Least Concern	LC	of no interest					1	0	0	demersal				Tropical			Asia - Inland waters	endemic
Acanthocybium_solandri_E00927	Wahoo	Reports of ciguatera poisoning	Least Concern	LC	commercial		yes			0	0	1	pelagic-oceanic	oceanodromous	0	20	Subtropical	83		Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Mediterranean and Black Sea	native
Acanthodoras_spinosissimus_P02_C08_RG17	Talking catfish	Venomous	Not Evaluated	NE	of no interest				commercial	1	0	0	demersal				Tropical			America, South - Inland waters	endemic
Acanthopagrus_catenula_E00953	Bridled seabream	Harmless	Data deficient	DD						0	1	1	reef-associated				Tropical			Indian Ocean, Western	endemic
Acanthopagrus_latus_M01638	Yellowfin seabream	Harmless	Data deficient	DD		commercial				1	1	1	demersal				Subtropical	1.5		Asia - Inland waters; Pacific, Northwest	native
Acanthostracion_quadricornis_E00760	Scrawled cowfish	Reports of ciguatera poisoning	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		1	80	Subtropical			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthurus_bahianus_E00005	Barber surgeonfish	Harmless	Least Concern	LC						0	0	1	reef-associated		2	40	Tropical			Atlantic, Southwest; Atlantic, Southeast	native
Acanthurus_guttatus_E00709	Whitespotted surgeonfish	Harmless	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	8	Tropical			Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	introduced
Acanthurus_leucosternon_E00880	Powderblue surgeonfish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		0	25	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Acanthurus_lineatus_E00889	Lined surgeonfish	Venomous	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	15	Tropical		46	Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Acanthurus_triostegus_E00711	Convict surgeonfish	Reports of ciguatera poisoning	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	90	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Acantopsis_sp_I2577-JWA0327										0	0	0									
Acestrocephalus_ginesi_P1_B01_RG31		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical				
Acestrorhynchus_microlepis_P1_H03_RG88	Pike characin	Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic				Tropical	0.23		America, South - Inland waters	endemic
Acheilognathus_tonkinensis_I2578-CCS0001		Harmless	Data deficient	DD						1	0	0	benthopelagic				Tropical			Asia - Inland waters	endemic
Achirus_lineatus_E00605	Lined sole	Harmless	Least Concern	LC					commercial	0	1	1	reef-associated		1	20	Tropical	0.0295		Atlantic, Western Central; America, South - Inland waters; Atlantic, Southwest; Pacific, Southeast	native
Acipenser_fulvescens_G01187	Lake sturgeon	Harmless	Least Concern	LC	commercial	experimental	yes		public aquariums	1	1	0	demersal	potamodromous	5	9	Temperate	125	152	America, North - Inland waters	native
Acnodon_oligacantus_P02_A08_RG16		Harmless	Not Evaluated	NE						1	0	0	benthopelagic	potamodromous			Tropical			America, South - Inland waters	endemic
Acreichthys_tomentosus_N21168	Bristle-tail file-fish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	2	15	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Acrobycon_ipanquianus_P3_C01_RG29		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Subtropical			America, South - Inland waters	endemic
Acrocheilus_alutaceus_I2582-AUF0194	Chiselmouth	Harmless	Least Concern	LC	minor commercial					1	0	0	demersal				Temperate			America, North - Inland waters	endemic
Acropoma_japonicum_G01188	Glowbelly	Harmless	Not Evaluated	NE	commercial					0	0	1	bathypelagic		100	500	Deep-water			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Acrossocheilus_monticola_I2663-96		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Temperate			Asia - Inland waters	endemic
Adelosebastes_latens_E00066		Harmless	Not Evaluated	NE						0	0	1	bathydemersal		900	1200	Deep-water			Pacific, Northwest	endemic
Adinia_xenica_E00173	Diamond killifish	Harmless	Least Concern	LC					commercial	1	1	1	benthopelagic	non-migratory			Tropical				
Aeoliscus_strigatus	Razorfish	Harmless	Data deficient	DD	of no interest				commercial	0	0	1	reef-associated		2	42	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Aethaloperca_rogaa_E01079	Redmouth grouper	Harmless	Least Concern	LC	minor commercial		yes			0	0	1	reef-associated	non-migratory	3	60	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Aethotaxis_mitopteryx_G01528	Longfin icedevil	Harmless	Not Evaluated	NE	of no interest					0	0	1	bathypelagic			850	Deep-water			Indian Ocean, Antarctic; Atlantic, Antarctic; Pacific, Antarctic	native
Ahliesaurus_berryi_E00661		Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		0	2000	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Atlantic, Southeast; Pacific, Southeast	native
Akrokolioplax_bicornis_I2693-170		Harmless	Data deficient	DD						1	0	0	demersal				Tropical			Asia - Inland waters	endemic
Albatrossia_pectoralis_E00360	Giant grenadier	Harmless	Not Evaluated	NE	commercial					0	0	1	bathydemersal	non-migratory	140	3500	Deep-water	86	56	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Albula_glossodonta_G01192	Roundjaw bonefish	Harmless	Vulnerable	VU	minor commercial		yes	usually		0	1	0	reef-associated	oceanodromous		10	Tropical	8.6		Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Albula_vulpes_E00501	Bonefish	Reports of ciguatera poisoning	Near Threatened	NT	minor commercial		yes	usually		0	1	1	reef-associated	amphidromous	0	84	Subtropical	10		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Albulichthys_albuloides_I2648-128		Harmless	Least Concern	LC	minor commercial					1	1	0	benthopelagic				Tropical			Asia - Inland waters	endemic
Alburnoides_bipunctatus_I2624-2	Schneider	Harmless	Not Evaluated	NE	of no interest			usually	commercial	1	1	0	benthopelagic	potamodromous			Subtropical	0.03		Europe - Inland waters; Asia - Inland waters	native
Alburnus_alburnus_I2696-175	Bleak		Least Concern	LC	minor commercial	commercial		usually		1	1	0	benthopelagic	potamodromous	1		Temperate	0.06		Africa-Inland Waters; Europe - Inland waters; Atlantic, Northeast; Asia - Inland waters; Mediterranean and Black Sea	introduced
Aldrovandia_affinis_G01193	Gilberts halosaurid fish	Harmless	Least Concern	LC						0	0	1	benthopelagic		730	2560	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Alectis_ciliaris_E00469	African pompano	Reports of ciguatera poisoning	Least Concern	LC	minor commercial		yes		commercial	0	0	1	reef-associated		60	100	Subtropical	22.9		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Alepisaurus_brevirostris_E00653	Short snouted lancetfish	Harmless	Least Concern	LC						0	0	1	bathypelagic		640	1591	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Pacific, Southeast; Indian Ocean, Antarctic; Atlantic, Antarctic; Pacific, Antarctic	native
Alepisaurus_ferox_E00965	Long snouted lancetfish	Harmless	Least Concern	LC						0	0	1	bathypelagic	oceanodromous	0	1830	Deep-water	9		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Pacific, Northeast; Mediterranean and Black Sea	native
Alepocephalus_agassizii_G01194	Agassiz slickhead	Harmless	Least Concern	LC	of potential interest					0	0	1	bathydemersal		600	2500	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Northeast; Atlantic, Eastern Central	native
Alepocephalus_tenebrosus_E00358	California slickhead	Harmless	Not Evaluated	NE						0	0	1	bathydemersal		46	5500	Deep-water			Pacific, Eastern Central; Pacific, Northwest; Pacific, Southeast; Pacific, Northeast	native
Alestopetersius_hilgendorfi_P3_D01_RG40		Harmless	Least Concern	LC						1	0	0	pelagic				Tropical			Africa-Inland Waters	endemic
Alosa_pseudoharengus_G01195	Alewife	Harmless	Least Concern	LC	commercial			occasionally		1	1	1	pelagic-neritic	anadromous	5	145	Temperate	0.2	9	Atlantic, Northwest; Atlantic, Western Central; America, North - Inland waters	native
Alticus_arnoldorum_E00989	Pacific leaping blenny	Harmless	Least Concern	LC						0	0	1	reef-associated				Tropical			Pacific, Western Central; Pacific, Eastern Central	native
Aluterus_scriptus_E00316	Scribbled leatherjacket filefish	Reports of ciguatera poisoning	Least Concern	LC			yes		commercial	0	0	1	reef-associated		3	120	Subtropical	2.5		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Amanses_scopas_E00536	Broom filefish	Harmless	Least Concern	LC	minor commercial					0	0	1	reef-associated		3	18	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Ambassis_agrammus_G01196	Sailfin glass perchlet	Harmless	Not Evaluated	NE						1	1	0	demersal				Tropical			Oceania - Inland waters; Asia - Inland waters	native
Ambassis_interrupta_E01100	Long-spined glass perchlet	Harmless	Least Concern	LC	minor commercial					1	1	1	demersal	amphidromous			Tropical	0.012		Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Asia - Inland waters; Pacific, Northwest	native
Ambassis_urotaenia_G01197	Banded-tail glassy perchlet	Harmless	Least Concern	LC						1	1	1	demersal	amphidromous			Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Africa-Inland Waters; Asia - Inland waters; Pacific, Northwest	native
Ambloplites_rupestris_E00392	Rock bass	Harmless	Least Concern	LC	minor commercial		yes		public aquariums	1	0	0	demersal			21	Subtropical	1.4	18	America, North - Inland waters; Europe - Inland waters	native
Amblycirrhitus_pinos_E00314	Redspotted hawkfish	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		2	46	Tropical			Atlantic, Western Central; Pacific, Western Central; Atlantic, Southwest; Atlantic, Southeast	native
Amblyeleotris_guttata_E01043	Spotted prawn-goby	Harmless	Not Evaluated	NE					commercial	0	0	1	reef-associated		10	40	Tropical			Indian Ocean, Eastern; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Amblyeleotris_gymnocephala_E00409	Masked shrimpgoby	Harmless	Not Evaluated	NE	of no interest				commercial	0	1	1	reef-associated	amphidromous	5	35	Tropical			Indian Ocean, Eastern; Pacific, Western Central; Pacific, Northwest	native
Amblyeleotris_wheeleri_E01073	Gorgeous prawn-goby	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		5	40	Tropical			Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Amblyglyphidodon_leucogaster_E00529	Yellowbelly damselfish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	2	45	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Amblygobius_decussatus_E00533	Orange-striped goby	Harmless	Not Evaluated	NE					commercial	0	1	1	reef-associated		3	25	Tropical			Indian Ocean, Eastern; Pacific, Western Central; Pacific, Northwest	native
Amblygobius_phalaena_E00736	Whitebarred goby	Harmless	Not Evaluated	NE	minor commercial				commercial	0	0	1	reef-associated			52	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Amblypharyngodon_mola_I2632-26	Mola carplet	Harmless	Least Concern	LC	of no interest					1	0	0	benthopelagic				Tropical			Asia - Inland waters	endemic
Amblyrhynchichthys_truncatus_I2649-129		Harmless	Least Concern	LC						1	0	0	benthopelagic	potamodromous			Tropical			Asia - Inland waters	endemic
Ameiurus_nebulosus_P02_F07_RG33	Brown bullhead	Potential pest	Least Concern	LC	minor commercial	commercial	yes			1	0	0	demersal		0	12	Subtropical	2.7	9	Oceania - Inland waters; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Asia - Inland waters	introduced
Amia_calva_E00461	Bowfin	Harmless	Least Concern	LC	of no interest		yes		public aquariums	1	0	0	demersal				Subtropical	9.8	30	America, North - Inland waters	endemic
Ammocrypta_beanii_E00187	Naked sand darter	Harmless	Least Concern	LC						1	0	0	demersal				Temperate			America, North - Inland waters	endemic
Ammocrypta_meridiana_E00148	Southern sand darter	Harmless	Least Concern	LC						1	0	0	demersal				Temperate			America, North - Inland waters	endemic
Ammocrypta_pellucida_E00149	Eastern sand darter	Harmless	Least Concern	LC						1	0	0	demersal				Temperate			America, North - Inland waters	endemic
Ammodytes_dubius_N02375	Northern sand lance	Harmless	Not Evaluated	NE	of potential interest					0	0	1	demersal		0	108	Polar			Atlantic, Northwest; Atlantic, Northeast; Arctic Ocean	native
Ammodytes_hexapterus_E00414	Pacific sand lance	Harmless	Not Evaluated	NE	commercial					0	1	1	benthopelagic	oceanodromous	0	275	Temperate	0.1	11	Atlantic, Northwest; Atlantic, Western Central; Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast; Arctic Ocean	native
Amphiprion_clarkii_E00196	Yellowtail clownfish	Harmless	Not Evaluated	NE	subsistence fisheries				commercial	0	0	1	reef-associated	non-migratory	1	60	Tropical		11	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Amphiprion_ocellaris_E00193	Clown anemonefish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated	non-migratory	1	15	Tropical			Indian Ocean, Eastern; Pacific, Western Central; Pacific, Northwest	native
Amphistichus_argenteus_E00129	Barred surfperch	Harmless	Not Evaluated	NE	minor commercial		yes			0	0	1	demersal			73	Subtropical	2	9	Pacific, Eastern Central	endemic
Anampses_lineatus_E00932	Lined wrasse	Harmless	Data deficient	DD					commercial	0	0	1	reef-associated		10	45	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Anaora_tentaculata	Tentacled dragonet	Harmless	Not Evaluated	NE						0	0	1	reef-associated		1	30	Tropical			Pacific, Western Central; Pacific, Northwest	native
Anarhichas_denticulatus_E00787	Northern wolffish	Harmless	Not Evaluated	NE	of no interest		yes			0	0	1	benthopelagic	oceanodromous	60	1700	Polar	20		Atlantic, Northwest; Atlantic, Northeast; Arctic Ocean	native
Anarhichas_orientalis_lupus_E00117	Bering wolffish	Harmless	Not Evaluated	NE						0	0	1	demersal		0	100	Temperate			Pacific, Northwest; Pacific, Northeast; Arctic Ocean	native
Anarrhichthys_ocellatus_E00119	Wolf-eel	Traumatogenic	Not Evaluated	NE	minor commercial				public aquariums	0	0	1	demersal		1	226	Temperate	18.4		Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast; Arctic Ocean	native
Ancistrus_leucostictus_P1_G08_RG68		Harmless	Not Evaluated	NE						1	0	0	demersal				Tropical			America, South - Inland waters	endemic
Ancylopsetta_ommata_E00001	Gulf of Mexico ocellated flounder	Harmless	Least Concern	LC						0	0	1	demersal		4	110	Subtropical			Atlantic, Northwest; Atlantic, Western Central	native
Anguilla_rostrata_G01202	American eel	Harmless	Endangered	EN	commercial	commercial	yes		public aquariums	1	1	1	demersal	catadromous	0	464	Subtropical	7.3	43	Atlantic, Northwest; Atlantic, Western Central; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Atlantic, Southwest	native
Anisotremus_surinamensis_N17175	Black margate	Reports of ciguatera poisoning	Data deficient	DD	commercial				public aquariums	0	0	1	reef-associated		0	20	Subtropical	5.8		Atlantic, Western Central; Atlantic, Southwest	native
Anisotremus_virginicus_E00200	Porkfish	Reports of ciguatera poisoning	Least Concern	LC	minor commercial		yes		public aquariums	0	0	1	reef-associated		2	20	Subtropical	0.93		Atlantic, Western Central; Atlantic, Southwest	native
Anomalops_katoptron_M02573	Splitfin flashlightfish	Harmless	Not Evaluated	NE	of no interest			occasionally	commercial	0	0	1	reef-associated		2	400	Tropical			Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Anoplocapros_lenticularis_G01533	White-barred boxfish	Harmless	Not Evaluated	NE						0	0	1	demersal		10	220	Subtropical			Indian Ocean, Eastern	endemic
Anoplogaster_cornuta_E00662	Common fangtooth	Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		2	4992	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Pacific, Northeast	native
Anoplopoma_fimbria_E00423	Sablefish	Harmless	Not Evaluated	NE	highly commercial	likely future use			public aquariums	0	0	1	bathydemersal	oceanodromous	175	2740	Deep-water		94	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Anostomus_ternetzi_P1_A06_RG74		Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Anotopterus_pharao_E00964	Daggertooth	Harmless	Least Concern	LC						0	0	1	bathypelagic		0	5100	Deep-water			Atlantic, Northwest; Atlantic, Northeast; Atlantic, Eastern Central	native
Antennatus_coccineus_E01092	Scarlet frogfish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated		1	75	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Antennatus_nummifer_E00587	Spotfin frogfish	Harmless	Least Concern	LC	of no interest				commercial	0	0	1	reef-associated		0	293	Subtropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Anthias_nicholsi_E00447	Yellowfin bass	Harmless	Least Concern	LC						0	0	1	benthopelagic				Subtropical			Atlantic, Northwest; Atlantic, Western Central; Atlantic, Southwest	native
Antigonia_capros_E01024	Deepbody boarfish	Harmless	Least Concern	LC	minor commercial					0	0	1	demersal		50	900	Tropical	0.17		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Antigonia_rubescens_N05907	Indo-Pacific boarfish	Harmless	Not Evaluated	NE						0	0	1	benthopelagic		50	750	Deep-water			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Antimora_microlepis_E00419	Finescale mora	Harmless	Data deficient	DD	subsistence fisheries					0	0	1	bathypelagic		175	3048	Deep-water	2.1	20	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Antimora_rostrata_E00786	Blue antimora	Harmless	Least Concern	LC						0	0	1	bathypelagic		350	3000	Deep-water			Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Atlantic, Southeast; Pacific, Southeast; Indian Ocean, Antarctic; Atlantic, Antarctic	native
Apareiodon_orinocoensis_P1_H06_RG49		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Apeltes_quadracus_E00791	Fourspine stickleback	Harmless	Least Concern	LC					public aquariums	1	1	1	benthopelagic		0	3	Temperate		3	Atlantic, Northwest; Atlantic, Western Central; America, North - Inland waters	native
Aphanopus_carbo_E00274	Black scabbardfish	Harmless	Least Concern	LC	highly commercial					0	0	1	bathypelagic	oceanodromous	200	2300	Deep-water	0		Atlantic, Northwest; Atlantic, Western Central; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Pacific, Southeast	native
Aphareus_furca_E00563	Small toothed jobfish	Reports of ciguatera poisoning	Least Concern	LC	commercial		yes			0	0	1	reef-associated		1	122	Tropical	0.906		Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Aphredoderus_sayanus_E00151	Pirate perch	Harmless	Least Concern	LC						1	0	0	demersal				Temperate		4	America, North - Inland waters	endemic
Aphyocharax_dentatus_P3_F05_RG58		Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic				Highaltitude			America, South - Inland waters	endemic
Aplochiton_taeniatus_G01517		Harmless	Not Evaluated	NE	of no interest					1	1	1	benthopelagic	amphidromous			Temperate			America, South - Inland waters	endemic
Aplodactylus_arctidens_M01536	Marblefish	Harmless	Not Evaluated	NE						0	0	1	reef-associated		0	40	Temperate			Indian Ocean, Eastern; Pacific, Southwest	native
Aplodactylus_etheridgii_M01537	Notchheaded marblefish	Harmless	Not Evaluated	NE						0	0	1	reef-associated		6	20	Subtropical			Pacific, Southwest	endemic
Aplodinotus_grunniens_E01108	Freshwater drum	Harmless	Least Concern	LC	minor commercial		yes			1	0	0	demersal		30		Subtropical	24.7	13	America, North - Inland waters	endemic
Apogon_campbelli_E01069		Harmless	Not Evaluated	NE						0	0	1	reef-associated				Tropical			Indian Ocean, Western	endemic
Apolemichthys_trimaculatus_E00839	Threespot angelfish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	3	60	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Aporops_bilinearis_E00531	Blotched podge	Harmless	Least Concern	LC						0	0	1	reef-associated		1	15	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
