Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Micromesistius_poutassou_E00491	Blue whiting	Harmless	Not Evaluated	NE	highly commercial					0	0	1	bathypelagic	oceanodromous	150	3000	Temperate	0.83	20	Atlantic, Northwest; Atlantic, Northeast; Atlantic, Eastern Central; Mediterranean and Black Sea	native
Microphis_brachyurus	Short-tailed pipefish	Harmless	Least Concern	LC	of no interest				commercial	1	1	1	demersal	anadromous	0	5	Subtropical			Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; Pacific, Eastern Central; Asia - Inland waters; Pacific, Northwest	native
Microphis_cuncalus	Crocodile-tooth pipefish	Harmless	Least Concern	LC	of no interest					1	1	0	demersal	potamodromous			Tropical			Asia - Inland waters	endemic
Microphis_deocata	Deocata pipefish	Harmless	Near Threatened	NT	of no interest					1	0	0	demersal	amphidromous			Tropical			Asia - Inland waters	endemic
Micropogonias_undulatus_N01637	Atlantic croaker	Harmless	Least Concern	LC	commercial	experimental	yes			0	1	1	demersal			100	Subtropical	2.6	5	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Northeast; Atlantic, Southwest	native
Micropterus_salmoides_E01110	Largemouth black bass	Potential pest	Least Concern	LC	minor commercial	commercial	yes		public aquariums	1	0	0	benthopelagic		0	6	Subtropical	10.1	23	Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Asia - Inland waters; Pacific, Northeast	introduced
Microrasbora_nana_I2620-117		Harmless	Least Concern	LC						1	1	0	benthopelagic				Tropical				
Microrasbora_rubescens_I2542-MTD010		Harmless	Endangered	EN	of no interest			usually		1	0	0	benthopelagic				Tropical			Asia - Inland waters	endemic
Microspathodon_bairdii_G01375	Bumphead damselfish	Harmless	Least Concern	LC						0	0	1	reef-associated	non-migratory	3	8	Tropical			Pacific, Eastern Central; Pacific, Southeast	native
Microspathodon_chrysurus_E00772	Yellowtail damselfish	Harmless	Least Concern	LC	subsistence fisheries				commercial	0	0	1	reef-associated	non-migratory	0	120	Subtropical			Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest	native
Microstomus_pacificus_E00433	Dover sole	Harmless	Not Evaluated	NE	commercial		yes			0	0	1	demersal		10	1370	Temperate	3.5	56	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
Mimagoniates_rheocharis_P3_G01_RG87		Harmless	Not Evaluated	NE						1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Minytrema_melanops_I2704-184	Spotted sucker	Harmless	Least Concern	LC			yes			1	0	0	demersal				Subtropical	1.2	6	America, North - Inland waters	endemic
Misgurnus_bipartitus_I2643-82		Harmless	Not Evaluated	NE						1	0	0	demersal				Temperate				
Mola_mola_E00683	Ocean sunfish	Poisonous to eat	Vulnerable	VU	minor commercial					0	0	1	pelagic-oceanic	oceanodromous	30	480	Subtropical	2086.525		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Pacific, Northeast; Mediterranean and Black Sea	native
Monocentris_japonica_G01376	Pineconefish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated		1	250	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest; Atlantic, Southeast	native
Monocirrhus_polyacanthus_G01377	Amazon leaffish	Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic				Tropical			America, South - Inland waters	endemic
Monodactylus_argenteus_E00827	Silver moony	Harmless	Least Concern	LC	minor commercial				commercial	1	1	1	pelagic-neritic		0	12	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Africa-Inland Waters; Pacific, Eastern Central; Asia - Inland waters; Pacific, Northwest; Atlantic, Southeast	native
Monodactylus_sebae_N21267	African moony	Harmless	Not Evaluated	NE	minor commercial				commercial	1	1	1	pelagic-neritic				Tropical			Africa-Inland Waters; Atlantic, Eastern Central; Atlantic, Southeast	native
