Group	FishBase_ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined_not_examined	Monophyly	fb_url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	foa_url	fao_area	fao_status
Abalistes_stellatus_E00936	Abalistes-stellatus	Clade42	Balistidae	NA	Balistoidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abalistes-stellatus.html	Abalistes stellatus (Anonymous,  1798)	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	reef-associated	NA	7	350	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=58334&GenusName=Abalistes&SpeciesName=stellatus&fc=445&StockCode=48009&Scientific=Abalistes+stellatus	Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Abbottina_rivularis2_I2681-158	Abbottina-rivularis	Clade11d	Gobionidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abbottina-rivularis.html	Abbottina rivularis (Basilewsky,  1855)	Chinese false gudgeon	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Freshwater;brackish	benthopelagic	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=22903&GenusName=Abbottina&SpeciesName=rivularis&fc=122&StockCode=18177&Scientific=Abbottina+rivularis	Asia - Inland waters; Pacific, Northwest	native
Ablennes_hians_E00162	Ablennes-hians	Clade41	Belonidae	NA	Belonoidei	Beloniformes	Atherinomorphae	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Ablennes-hians.html	Ablennes hians (Valenciennes,  1846)	Flat needlefish	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine;brackish	reef-associated	oceanodromous	0	3	Subtropical	4.8 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=972&GenusName=Ablennes&SpeciesName=hians&fc=207&StockCode=988&Scientific=Ablennes+hians	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Abramites_hypselonotus_P02_F10_RG26	Abramites-hypselonotus	Clade12b	Anostomidae	NA	Characoidei	Characiformes	Characiphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abramites-hypselonotus.html	Abramites hypselonotus (Günther,  1868)	Marbled headstander	Harmless	Not Evaluated	NA	subsistence fisheries	NA	NA	NA	commercial	Freshwater	pelagic	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=10768&GenusName=Abramites&SpeciesName=hypselonotus&fc=559&StockCode=11091&Scientific=Abramites+hypselonotus	America, South - Inland waters	endemic
Abudefduf_saxatilis_E00820	Abudefduf-saxatilis	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-saxatilis.html	Abudefduf saxatilis (Linnaeus,  1758)	Sergeant-major	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Marine	reef-associated	non-migratory	0	20	Subtropical	200.00 g	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350&StockCode=1135&Scientific=Abudefduf+saxatilis	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Abudefduf_sexfasciatus_E00881	Abudefduf-sexfasciatus	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-sexfasciatus.html	Abudefduf sexfasciatus (Lacepède,  1801)	Scissortail sergeant	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	public aquariums	Marine	reef-associated	non-migratory	1	20	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&fc=350&StockCode=5981&Scientific=Abudefduf+sexfasciatus	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Pacific, Southeast	native
Abudefduf_vaigiensis_E00890	Abudefduf-vaigiensis	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-vaigiensis.html	Abudefduf vaigiensis (Quoy  &  Gaimard,  1825)	Indo-Pacific sergeant	Reports of ciguatera poisoning 	Least Concern 	LC	subsistence fisheries	NA	NA	NA	commercial	Marine	reef-associated	oceanodromous	1	15	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350&StockCode=6950&Scientific=Abudefduf+vaigiensis	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthaphritis_unoorum_N24985	Acanthaphritis-unoorum	Clade42	Percophidae	NA	NA	Pempheriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Awaiting formal description	Examined	Monotypic	https://www.fishbase.se/summary/Acanthaphritis-unoorum.html	Acanthaphritis unoorum Suzuki  &  Nakabo,  1996	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	demersal	NA	NA	100	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=59263&GenusName=Acanthaphritis&SpeciesName=unoorum&fc=370&StockCode=48991&Scientific=Acanthaphritis+unoorum	Pacific, Northwest	endemic
Acantharchus_pomotis_G01185	Acantharchus-pomotis	Clade42	Centrarchidae	NA	Centrarchoidei	Centrarchiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acantharchus-pomotis.html	Acantharchus pomotis (Baird,  1855)	Mud sunfish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=3357&GenusName=Acantharchus&SpeciesName=pomotis&fc=302&StockCode=3553&Scientific=Acantharchus+pomotis	America, North - Inland waters	endemic
Acanthemblemaria_aspera_E00320	Acanthemblemaria-aspera	Clade41	Chaenopsidae	NA	NA	Blenniiformes	Blenniimorphae	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies	https://www.fishbase.se/summary/Acanthemblemaria-aspera.html	Acanthemblemaria aspera (Longley,  1927)	Roughhead blenny	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Marine	reef-associated	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=3708&GenusName=Acanthemblemaria&SpeciesName=aspera&fc=483&StockCode=3904&Scientific=Acanthemblemaria+aspera	Atlantic, Western Central	endemic
Acanthemblemaria_paula_E00295	Acanthemblemaria-paula	Clade41	Chaenopsidae	NA	NA	Blenniiformes	Blenniimorphae	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies	https://www.fishbase.se/summary/Acanthemblemaria-paula.html	Acanthemblemaria paula Johnson  &  Brothers,  1989	Dwarf spinyhead blenny	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Marine	reef-associated	NA	1	2	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=54806&GenusName=Acanthemblemaria&SpeciesName=paula&fc=483&StockCode=45374&Scientific=Acanthemblemaria+paula	Atlantic, Western Central	endemic
Acanthicus_adonis_P02_B10_RG55	Acanthicus-adonis	Clade14a	Loricariidae	NA	Loricarioidei	Siluriformes	Siluriphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthicus-adonis.html	Acanthicus adonis Isbrücker  &  Nijssen,  1988	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	commercial	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=50683&GenusName=Acanthicus&SpeciesName=adonis&fc=157&StockCode=42372&Scientific=Acanthicus+adonis	America, South - Inland waters	endemic
Acanthocepola_sp_M01669	Acanthocepola-sp	Clade42	Cepolidae	NA	NA	Priacanthiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthocepola-sp.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthochaenus_luetkenii_M30097	Acanthochaenus-luetkenii	Clade32b	Stephanoberycidae	NA	Stephanoberycoidei	Beryciformes	NA	NA	NA	Berycimorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic	https://www.fishbase.se/summary/Acanthochaenus-luetkenii.html	Acanthochaenus luetkenii Gill,  1884	Pricklefish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	benthopelagic	NA	1655	5397	Deep-water	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=9046&GenusName=Acanthochaenus&SpeciesName=luetkenii&fc=232&StockCode=9367&Scientific=Acanthochaenus+luetkenii	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Acanthochromis_polyacanthus_E00466	Acanthochromis-polyacanthus	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthochromis-polyacanthus.html	Acanthochromis polyacanthus (Bleeker,  1855)	Spiny chromis	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	reef-associated	non-migratory	1	65	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=6655&GenusName=Acanthochromis&SpeciesName=polyacanthus&fc=350&StockCode=6975&Scientific=Acanthochromis+polyacanthus	Indian Ocean, Eastern; Pacific, Western Central; Pacific, Northwest	native
Acanthocobitis_botia_I2718-54	Acanthocobitis-botia	Clade11c	Nemacheilidae	NA	Cobitoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthocobitis-botia.html	Acanthocobitis botia (Hamilton,  1822)	Mottled loach	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=12256&GenusName=Acanthocobitis&SpeciesName=botia&fc=692&StockCode=12582&Scientific=Acanthocobitis+botia	Asia - Inland waters	endemic
Acanthocybium_solandri_E00927	Acanthocybium-solandri	Clade36	Scombridae	NA	NA	Scombriformes	NA	NA	Pelagiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies	https://www.fishbase.se/summary/Acanthocybium-solandri.html	Acanthocybium solandri (Cuvier,  1832)	Wahoo	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	20	Subtropical	83.0 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&fc=416&StockCode=104&Scientific=Acanthocybium+solandri	Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Mediterranean and Black Sea	native
Acanthodoras_spinosissimus_P02_C08_RG17	Acanthodoras-spinosissimus	Clade14c	Doradidae	NA	Siluroidei	Siluriformes	Siluriphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthodoras-spinosissimus.html	Acanthodoras spinosissimus (Eigenmann  &  Eigenmann,  1888)	Talking catfish	Venomous 	Not Evaluated	NA	of no interest	NA	NA	NA	commercial	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=12103&GenusName=Acanthodoras&SpeciesName=spinosissimus&fc=146&StockCode=12429&Scientific=Acanthodoras+spinosissimus	America, South - Inland waters	endemic
Acanthopagrus_catenula_E00953	Acanthopagrus-catenula	Clade42	Sparidae	NA	NA	Spariformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthopagrus-catenula.html	Acanthopagrus catenula (Lacepède,  1801)	Bridled seabream	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Marine;brackish	reef-associated	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=67289&GenusName=Acanthopagrus&SpeciesName=catenula&fc=330&StockCode=58507&Scientific=Acanthopagrus+catenula	Indian Ocean, Western	endemic
Acanthopagrus_latus_M01638	Acanthopagrus-latus	Clade42	Sparidae	NA	NA	Spariformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthopagrus-latus.html	Acanthopagrus latus (Houttuyn,  1782)	Yellowfin seabream	Harmless	Data deficient 	DD	NA	commercial	NA	NA	NA	Marine;freshwater;brackish	demersal	NA	NA	NA	Subtropical	1.5 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=6356&GenusName=Acanthopagrus&SpeciesName=latus&fc=330&StockCode=6669&Scientific=Acanthopagrus+latus	Asia - Inland waters; Pacific, Northwest	native
Acanthostracion_quadricornis_E00760	Acanthostracion-quadricornis	Clade42	Ostraciidae	NA	Ostracioidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthostracion-quadricornis.html	Acanthostracion quadricornis (Linnaeus,  1758)	Scrawled cowfish	Reports of ciguatera poisoning 	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	1	80	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=92&GenusName=Acanthostracion&SpeciesName=quadricornis&fc=446&StockCode=106&Scientific=Acanthostracion+quadricornis	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthurus_bahianus_E00005	Acanthurus-bahianus	Clade42	Acanthuridae	NA	NA	Acanthuriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthurus-bahianus.html	Acanthurus bahianus Castelnau,  1855	Barber surgeonfish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	reef-associated	NA	2	40	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=68792&GenusName=Acanthurus&SpeciesName=bahianus&fc=412&StockCode=60405&Scientific=Acanthurus+bahianus	Atlantic, Southwest; Atlantic, Southeast	native
Acanthurus_guttatus_E00709	Acanthurus-guttatus	Clade42	Acanthuridae	NA	NA	Acanthuriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthurus-guttatus.html	Acanthurus guttatus Forster,  1801	Whitespotted surgeonfish	Harmless	Least Concern 	LC	commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	0	8	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4736&GenusName=Acanthurus&SpeciesName=guttatus&fc=412&StockCode=4960&Scientific=Acanthurus+guttatus	Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	introduced
Acanthurus_leucosternon_E00880	Acanthurus-leucosternon	Clade42	Acanthuridae	NA	NA	Acanthuriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthurus-leucosternon.html	Acanthurus leucosternon Bennett,  1833	Powderblue surgeonfish	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	0	25	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=1257&GenusName=Acanthurus&SpeciesName=leucosternon&fc=412&StockCode=1274&Scientific=Acanthurus+leucosternon	Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Northwest	native
Acanthurus_lineatus_E00889	Acanthurus-lineatus	Clade42	Acanthuridae	NA	NA	Acanthuriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthurus-lineatus.html	Acanthurus lineatus (Linnaeus,  1758)	Lined surgeonfish	Venomous 	Least Concern 	LC	commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	0	15	Tropical	NA	46 years	https://www.fishbase.se/Country/FaoAreaList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&fc=412&StockCode=1275&Scientific=Acanthurus+lineatus	Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Acanthurus_triostegus_E00711	Acanthurus-triostegus	Clade42	Acanthuridae	NA	NA	Acanthuriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acanthurus-triostegus.html	Acanthurus triostegus (Linnaeus,  1758)	Convict surgeonfish	Reports of ciguatera poisoning 	Least Concern 	LC	commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	0	90	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&fc=412&StockCode=1277&Scientific=Acanthurus+triostegus	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Acantopsis_sp_I2577-JWA0327	Acantopsis-sp	Clade11c	Cobitidae	NA	Cobitoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acantopsis-sp.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acestrocephalus_ginesi_P1_B01_RG31	Acestrocephalus-ginesi	Clade12b	Characidae	NA	Characoidei	Characiformes	Characiphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acestrocephalus-ginesi.html	Acestrocephalus sardina (Fowler,  1913)	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	NA	NA	NA
Acestrorhynchus_microlepis_P1_H03_RG88	Acestrorhynchus-microlepis	Clade12b	Acestrorhynchidae	NA	Characoidei	Characiformes	Characiphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic	https://www.fishbase.se/summary/Acestrorhynchus-microlepis.html	Acestrorhynchus microlepis (Jardine,  1841)	Pike characin	Harmless	Not Evaluated	NA	NA	NA	NA	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	230.00 g	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=12336&GenusName=Acestrorhynchus&SpeciesName=microlepis&fc=593&StockCode=12665&Scientific=Acestrorhynchus+microlepis	America, South - Inland waters	endemic
Acheilognathus_tonkinensis_I2578-CCS0001	Acheilognathus-tonkinensis	Clade11d	Acheilognathidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic	https://www.fishbase.se/summary/Acheilognathus-tonkinensis.html	Acheilognathus tonkinensis (Vaillant,  1892)	NA	Harmless	Data deficient 	DD	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=54709&GenusName=Acheilognathus&SpeciesName=tonkinensis&fc=122&StockCode=45297&Scientific=Acheilognathus+tonkinensis	Asia - Inland waters	endemic
Achirus_lineatus_E00605	Achirus-lineatus	Clade40	Achiridae	NA	Pleuronectoidei	Pleuronectiformes	NA	NA	Carangaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Achirus-lineatus.html	Achirus lineatus (Linnaeus,  1758)	Lined sole	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Marine;brackish	reef-associated	NA	1	20	Tropical	29.50 g	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4256&GenusName=Achirus&SpeciesName=lineatus&fc=516&StockCode=4452&Scientific=Achirus+lineatus	Atlantic, Western Central; America, South - Inland waters; Atlantic, Southwest; Pacific, Southeast	native
