Group	FishBase_ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined_not_examined	Monophyly	fb_url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	foa_url	fao_area	fao_status
Balistes_capriscus_E00591	Balistes-capriscus	Clade42	Balistidae	NA	Balistoidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Balistes-capriscus.html	Balistes capriscus Gmelin,  1789	Grey triggerfish	Reports of ciguatera poisoning 	Vulnerable 	VU	commercial	NA	yes	NA	public aquariums	Marine	reef-associated	NA	0	100	Subtropical	6.2 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&fc=445&StockCode=7628&Scientific=Balistes+capriscus	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Pacific, Southeast; Mediterranean and Black Sea	native
Balistes_vetula_E00755	Balistes-vetula	Clade42	Balistidae	NA	Balistoidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Balistes-vetula.html	Balistes vetula Linnaeus,  1758	Queen triggerfish	Poisonous to eat	Near Threatened 	NT	minor commercial	NA	yes	NA	commercial	Marine	reef-associated	NA	2	275	Tropical	5.4 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=19&GenusName=Balistes&SpeciesName=vetula&fc=445&StockCode=27&Scientific=Balistes+vetula	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Indian Ocean, Western; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast	native
Balistoides_conspicillum_E00373	Balistoides-conspicillum	Clade42	Balistidae	NA	Balistoidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Balistoides-conspicillum.html	Balistoides conspicillum (Bloch  &  Schneider,  1801)	Clown triggerfish	Reports of ciguatera poisoning 	Not Evaluated	NA	minor commercial	NA	NA	NA	commercial	Marine;brackish	reef-associated	NA	1	75	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=2300&GenusName=Balistoides&SpeciesName=conspicillum&fc=445&StockCode=2312&Scientific=Balistoides+conspicillum	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Banjos_banjos_M01542	Banjos-banjos	Clade42	Banjosidae	NA	NA	Pempheriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Banjos-banjos.html	Banjos banjos (Richardson,  1846)	Banjofish	Harmless	Not Evaluated	NA	minor commercial	NA	NA	NA	NA	Marine	demersal	NA	50	400	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4323&GenusName=Banjos&SpeciesName=banjos&fc=300&StockCode=4546&Scientific=Banjos+banjos	Indian Ocean, Eastern; Pacific, Southwest; Pacific, Western Central; Pacific, Northwest	native
Banjos_banjos_N01542	Banjos-banjos	Clade42	Banjosidae	NA	NA	Pempheriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Banjos-banjos.html	Banjos banjos (Richardson,  1846)	Banjofish	Harmless	Not Evaluated	NA	minor commercial	NA	NA	NA	NA	Marine	demersal	NA	50	400	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4323&GenusName=Banjos&SpeciesName=banjos&fc=300&StockCode=4546&Scientific=Banjos+banjos	Indian Ocean, Eastern; Pacific, Southwest; Pacific, Western Central; Pacific, Northwest	native
Barathronus_maculatus_N02779	Barathronus-maculatus	Clade34a	Bythitidae	NA	Bythitoidei	Ophidiiformes	NA	NA	Ophidiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barathronus-maculatus.html	Barathronus maculatus Shcherbachev,  1976	Spotted gelatinous cusk	Harmless	Not Evaluated	NA	of no interest	NA	NA	NA	NA	Marine	bathydemersal	NA	386	1525	Deep-water	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=16830&GenusName=Barathronus&SpeciesName=maculatus&fc=473&StockCode=15277&Scientific=Barathronus+maculatus	Atlantic, Western Central; Pacific, Southwest; Indian Ocean, Western; Pacific, Northwest	questionable
Barbichthys_laevis_I2665-102	Barbichthys-laevis	Clade11d	Cyprinidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barbichthys-laevis.html	Barbichthys laevis (Valenciennes,  1842)	Sucker barb	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=7993&GenusName=Barbichthys&SpeciesName=laevis&fc=122&StockCode=8304&Scientific=Barbichthys+laevis	Asia - Inland waters	endemic
Barbonymus_gonionotus_I2622-120	Barbonymus-gonionotus	Clade11d	Cyprinidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barbonymus-gonionotus.html	Barbonymus gonionotus (Bleeker,  1849)	Silver barb	Harmless	Least Concern 	LC	commercial	commercial	NA	NA	commercial	Freshwater	benthopelagic	potamodromous	15	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=286&GenusName=Barbonymus&SpeciesName=gonionotus&fc=122&StockCode=300&Scientific=Barbonymus+gonionotus	Oceania - Inland waters; Asia - Inland waters	introduced
Barbonymus_schwanenfeldii_I2619-114	Barbonymus-schwanenfeldii	Clade11d	Cyprinidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barbonymus-schwanenfeldii.html	Barbonymus schwanenfeldii (Bleeker,  1854)	Tinfoil barb	Harmless	Least Concern 	LC	subsistence fisheries	commercial	NA	occasionally	commercial	Freshwater	benthopelagic	potamodromous	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4765&GenusName=Barbonymus&SpeciesName=schwanenfeldii&fc=122&StockCode=4989&Scientific=Barbonymus+schwanenfeldii	America, North - Inland waters; Asia - Inland waters	introduced
Barbourisia_rufa_G01222	Barbourisia-rufa	Clade32b	Barbourisiidae	NA	Stephanoberycoidei	Beryciformes	NA	NA	NA	Berycimorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic	https://www.fishbase.se/summary/Barbourisia-rufa.html	Barbourisia rufa Parr,  1945	Velvet whalefish	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	bathydemersal	NA	120	2000	Deep-water	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4318&GenusName=Barbourisia&SpeciesName=rufa&fc=675&StockCode=4542&Scientific=Barbourisia+rufa	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Northeast	native
Barbus_barbus_I2587-13	Barbus-barbus	Clade11d	Cyprinidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barbus-barbus.html	Barbus barbus (Linnaeus,  1758)	Barbel	Other 	Least Concern 	LC	minor commercial	likely future use	yes	NA	commercial	Freshwater	benthopelagic	potamodromous	10	NA	Temperate	12.0 kg	15 years	https://www.fishbase.se/Country/FaoAreaList.php?ID=4472&GenusName=Barbus&SpeciesName=barbus&fc=122&StockCode=4670&Scientific=Barbus+barbus	Africa-Inland Waters; Europe - Inland waters; Asia - Inland waters	introduced
Barbus_compiniei_I2614-41	Barbus-compiniei	Clade11d	Cyprinidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barbus-compiniei.html	Labeobarbus compiniei (Sauvage,  1879)	NA	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	NA	NA	NA
Barilius_pulchellus_I2710-191	Barilius-pulchellus	Clade11d	Danionidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barilius-pulchellus.html	Opsarius pulchellus (Smith,  1931)	NA	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	NA	NA	NA
Barilius_tilio_I2553-MTD025	Barilius-tileo	Clade11d	Danionidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Barilius-tileo.html	Opsarius tileo (Hamilton,  1822)	NA	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Freshwater	benthopelagic	NA	NA	NA	Tropical	NA	NA	NA	NA	NA
Bassogigas_gillii_E00481	Bassogigas-gillii	Clade34b	Ophidiidae	NA	Ophidioidei	Ophidiiformes	NA	NA	Ophidiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Bassogigas-gillii.html	Bassogigas gillii Goode  &  Bean,  1896	NA	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	bathydemersal	NA	637	2239	Deep-water	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=22808&GenusName=Bassogigas&SpeciesName=gillii&fc=186&StockCode=18097&Scientific=Bassogigas+gillii	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Western; Pacific, Western Central; Atlantic, Southwest	native
Bathophilus_flemingi_pawneei_E00063	Bathophilus-flemingi	Clade21	Stomiidae	NA	Stomiatoidei	Stomiatiformes	NA	NA	NA	NA	NA	NA	NA	NA	Stomiati	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Bathophilus-flemingi.html	Bathophilus flemingi Aron  &  McCrery,  1958	Highfin dragonfish	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	bathypelagic	NA	225	1370	Deep-water	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=11568&GenusName=Bathophilus&SpeciesName=flemingi&fc=91&StockCode=11894&Scientific=Bathophilus+flemingi	Pacific, Eastern Central; Pacific, Northeast	native
Bathyaethiops_greeni_P3_H05_RG79	Bathyaethiops-greeni	Clade12b	Alestidae	NA	Characoidei	Characiformes	Characiphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Bathyaethiops-greeni.html	Bathyaethiops greeni Fowler,  1949	Greens moon tetra	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	pelagic	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=11117&GenusName=Bathyaethiops&SpeciesName=greeni&fc=518&StockCode=11441&Scientific=Bathyaethiops+greeni	Africa-Inland Waters	endemic
Bathyagonus_alascanus_E00268	Bathyagonus-alascanus	Clade42	Agonidae	Cottales	Cottoidei	Perciformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Bathyagonus-alascanus.html	Bathyagonus alascanus (Gilbert,  1896)	Gray starsnout	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	demersal	NA	18	252	Temperate	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=4159&GenusName=Bathyagonus&SpeciesName=alascanus&fc=283&StockCode=4355&Scientific=Bathyagonus+alascanus	Pacific, Eastern Central; Pacific, Northwest; Pacific, Northeast	native
